season,lg,type,number_tm,player,position,seas_id,player_id,birth_year,tm,age
1982,NBA,All-Rookie,1st,Jay Vincent,,8862,2004,,DAL,22
1982,NBA,All-Rookie,1st,Jeff Ruland,,8866,2006,,WSB,23
1982,NBA,All-Rookie,1st,Kelly Tripucka,,8900,2012,,DET,22
1981,NBA,All-Defense,1st,Bobby Jones,,8392,1559,1951.0,PHI,29
1981,NBA,All-Defense,1st,Caldwell Jones,,8399,1495,1950.0,PHI,30
1981,NBA,All-Defense,1st,Dennis Johnson,,8436,1701,,PHO,26
1981,NBA,All-Defense,1st,Kareem Abdul-Jabbar,,8535,1204,,LAL,33
1981,NBA,All-Defense,1st,Micheal Ray Richardson,,8587,1824,,NYK,25
1981,NBA,All-Defense,2nd,Dan Roundfield,,8423,1634,1953.0,ATL,27
1981,NBA,All-Defense,2nd,Dudley Bradley,,8447,1860,,IND,23
1981,NBA,All-Defense,2nd,George Johnson,,8469,1448,1948.0,SAS,32
1981,NBA,All-Defense,2nd,Kermit Washington,,8543,1516,,POR,29
1981,NBA,All-Defense,2nd,Michael Cooper,,8585,1823,,LAL,24
1981,NBA,All-Defense,2nd,Quinn Buckner,,8627,1721,,MIL,26
1981,NBA,All-NBA,1st,Dennis Johnson,G,8436,1701,,PHO,26
1981,NBA,All-NBA,1st,George Gervin,G,8468,1447,1952.0,SAS,28
1981,NBA,All-NBA,1st,Julius Erving,F,8533,1381,1950.0,PHI,30
1981,NBA,All-NBA,1st,Kareem Abdul-Jabbar,C,8535,1204,,LAL,33
1981,NBA,All-NBA,1st,Larry Bird,F,8554,1875,,BOS,24
1981,NBA,All-NBA,2nd,Adrian Dantley,F,8349,1692,,UTA,25
1981,NBA,All-NBA,2nd,Marques Johnson,F,8578,1767,,MIL,24
1981,NBA,All-NBA,2nd,Moses Malone,C,8608,1605,1955.0,HOU,25
1981,NBA,All-NBA,2nd,Otis Birdsong,G,8617,1771,,KCK,25
1981,NBA,All-NBA,2nd,Tiny Archibald,G,8683,1329,,BOS,32
1981,NBA,All-Rookie,1st,Darrell Griffith,,8425,1915,,UTA,22
1981,NBA,All-Rookie,1st,Joe Barry Carroll,,8508,1931,,GSW,22
1981,NBA,All-Rookie,1st,Kelvin Ransey,,8538,1936,,POR,22
1981,NBA,All-Rookie,1st,Kevin McHale,,8546,1938,,BOS,23
1981,NBA,All-Rookie,1st,Larry Smith,,8558,1942,,GSW,23
1980,NBA,All-Defense,1st,Bobby Jones,,8034,1559,1951.0,PHI,28
1980,NBA,All-Defense,1st,Dan Roundfield,,8064,1634,1953.0,ATL,26
1980,NBA,All-Defense,1st,Dennis Johnson,,8076,1701,,SEA,25
1980,NBA,All-Defense,1st,Don Buse,,8077,1439,1950.0,PHO,29
1980,NBA,All-Defense,1st,Kareem Abdul-Jabbar,,8178,1204,,LAL,32
1980,NBA,All-Defense,1st,Micheal Ray Richardson,,8222,1824,,NYK,24
1980,NBA,All-Defense,2nd,Dave Cowens,,8068,1260,,BOS,31
1980,NBA,All-Defense,2nd,Eddie Johnson,,8091,1747,1955.0,ATL,24
1980,NBA,All-Defense,2nd,Kermit Washington,,8185,1516,,POR,28
1980,NBA,All-Defense,2nd,Quinn Buckner,,8259,1721,,MIL,25
1980,NBA,All-Defense,2nd,Scott Wedman,,8299,1613,,KCK,27
1980,NBA,All-NBA,1st,George Gervin,G,8105,1447,1952.0,SAS,27
1980,NBA,All-NBA,1st,Julius Erving,F,8176,1381,1950.0,PHI,29
1980,NBA,All-NBA,1st,Kareem Abdul-Jabbar,C,8178,1204,,LAL,32
1980,NBA,All-NBA,1st,Larry Bird,F,8191,1875,,BOS,23
1980,NBA,All-NBA,1st,Paul Westphal,G,8247,1469,,PHO,29
1980,NBA,All-NBA,2nd,Dan Roundfield,F,8064,1634,1953.0,ATL,26
1980,NBA,All-NBA,2nd,Dennis Johnson,G,8076,1701,,SEA,25
1980,NBA,All-NBA,2nd,Gus Williams,G,8118,1647,,SEA,26
1980,NBA,All-NBA,2nd,Marques Johnson,F,8213,1767,,MIL,23
1980,NBA,All-NBA,2nd,Moses Malone,C,8234,1605,1955.0,HOU,24
1980,NBA,All-Rookie,1st,Bill Cartwright,,8011,1849,,NYK,22
1980,NBA,All-Rookie,1st,Calvin Natt,,8047,1853,,TOT,23
1980,NBA,All-Rookie,1st,Dave Greenwood,,8069,1858,,CHI,22
1980,NBA,All-Rookie,1st,Larry Bird,,8191,1875,,BOS,23
1980,NBA,All-Rookie,1st,Magic Johnson,,8206,1878,,LAL,20
1979,NBA,All-Defense,1st,Bob Dandridge,,7676,1168,,WSB,31
1979,NBA,All-Defense,1st,Bobby Jones,,7685,1559,1951.0,PHI,27
1979,NBA,All-Defense,1st,Dennis Johnson,,7727,1701,,SEA,24
1979,NBA,All-Defense,1st,Don Buse,,7729,1439,1950.0,PHO,28
1979,NBA,All-Defense,1st,Kareem Abdul-Jabbar,,7822,1204,,LAL,31
1979,NBA,All-Defense,2nd,Eddie Johnson,,7740,1747,1955.0,ATL,23
1979,NBA,All-Defense,2nd,Lionel Hollins,,7844,1670,,POR,25
1979,NBA,All-Defense,2nd,M.L. Carr,,7851,1671,1951.0,DET,28
1979,NBA,All-Defense,2nd,Maurice Lucas,,7864,1602,1952.0,POR,26
1979,NBA,All-Defense,2nd,Moses Malone,,7877,1605,1955.0,HOU,23
1979,NBA,All-NBA,1st,Elvin Hayes,F,7743,1101,,WSB,33
1979,NBA,All-NBA,1st,George Gervin,G,7758,1447,1952.0,SAS,26
1979,NBA,All-NBA,1st,Marques Johnson,F,7857,1767,,MIL,22
1979,NBA,All-NBA,1st,Moses Malone,C,7877,1605,1955.0,HOU,23
1979,NBA,All-NBA,1st,Paul Westphal,G,7890,1469,,PHO,28
1979,NBA,All-NBA,2nd,Bob Dandridge,F,7676,1168,,WSB,31
1979,NBA,All-NBA,2nd,Kareem Abdul-Jabbar,C,7822,1204,,LAL,31
1979,NBA,All-NBA,2nd,Phil Ford,G,7893,1828,,KCK,22
1979,NBA,All-NBA,2nd,Walter Davis,F,7981,1788,,PHO,24
1979,NBA,All-NBA,2nd,World B. Free,G,7990,1691,,SDC,25
1979,NBA,All-Rookie,1st,Mychal Thompson,,7878,1826,,POR,24
1979,NBA,All-Rookie,1st,Phil Ford,,7893,1828,,KCK,22
1979,NBA,All-Rookie,1st,Reggie Theus,,7906,1832,,CHI,21
1979,NBA,All-Rookie,1st,Ron Brewer,,7925,1836,,POR,23
1979,NBA,All-Rookie,1st,Terry Tyler,,7958,1840,,DET,22
1978,NBA,All-Defense,1st,Bill Walton,,7296,1556,,POR,25
1978,NBA,All-Defense,1st,Bobby Jones,,7317,1559,1951.0,DEN,26
1978,NBA,All-Defense,1st,Don Buse,,7371,1439,1950.0,PHO,27
1978,NBA,All-Defense,1st,Lionel Hollins,,7505,1670,,POR,24
1978,NBA,All-Defense,1st,Maurice Lucas,,7525,1602,1952.0,POR,25
1978,NBA,All-Defense,2nd,Artis Gilmore,,7290,1338,1949.0,CHI,28
1978,NBA,All-Defense,2nd,Bob Gross,,7312,1628,,POR,24
1978,NBA,All-Defense,2nd,E.C. Coleman,,7378,1501,,GSW,27
1978,NBA,All-Defense,2nd,Kareem Abdul-Jabbar,,7478,1204,,LAL,30
1978,NBA,All-Defense,2nd,Norm Van Lier,,7549,1219,,CHI,30
1978,NBA,All-Defense,2nd,Quinn Buckner,,7561,1721,,MIL,23
1978,NBA,All-NBA,1st,Bill Walton,C,7296,1556,,POR,25
1978,NBA,All-NBA,1st,David Thompson,G,7363,1637,1954.0,DEN,23
1978,NBA,All-NBA,1st,George Gervin,G,7405,1447,1952.0,SAS,25
1978,NBA,All-NBA,1st,Julius Erving,F,7476,1381,1950.0,PHI,27
1978,NBA,All-NBA,1st,Truck Robinson,F,7624,1619,,NOJ,26
1978,NBA,All-NBA,2nd,Kareem Abdul-Jabbar,C,7478,1204,,LAL,30
1978,NBA,All-NBA,2nd,Maurice Lucas,F,7525,1602,1952.0,POR,25
1978,NBA,All-NBA,2nd,Paul Westphal,G,7554,1469,,PHO,27
1978,NBA,All-NBA,2nd,Pete Maravich,G,7555,1315,,NOJ,30
1978,NBA,All-NBA,2nd,Walter Davis,F,7629,1788,,PHO,23
1978,NBA,All-Rookie,1st,Bernard King,,7294,1741,,NJN,21
1978,NBA,All-Rookie,1st,Jack Sikma,,7426,1755,,SEA,22
1978,NBA,All-Rookie,1st,Marques Johnson,,7520,1767,,MIL,21
1978,NBA,All-Rookie,1st,Norm Nixon,,7548,1770,,LAL,22
1978,NBA,All-Rookie,1st,Walter Davis,,7629,1788,,PHO,23
1977,NBA,All-Defense,1st,Bill Walton,,6931,1556,,POR,24
1977,NBA,All-Defense,1st,Bobby Jones,,6951,1559,1951.0,DEN,25
1977,NBA,All-Defense,1st,Don Buse,,7013,1439,1950.0,IND,26
1977,NBA,All-Defense,1st,E.C. Coleman,,7019,1501,,NOJ,26
1977,NBA,All-Defense,1st,Norm Van Lier,,7188,1219,,CHI,29
1977,NBA,All-Defense,2nd,Brian Taylor,,6953,1427,1951.0,KCK,25
1977,NBA,All-Defense,2nd,Don Chaney,,7014,1092,1946.0,LAL,30
1977,NBA,All-Defense,2nd,Jamaal Wilkes,,7069,1587,,GSW,23
1977,NBA,All-Defense,2nd,Jim Brewer,,7075,1508,,CLE,25
1977,NBA,All-Defense,2nd,Kareem Abdul-Jabbar,,7112,1204,,LAL,29
1977,NBA,All-NBA,1st,David Thompson,F,7004,1637,1954.0,DEN,22
1977,NBA,All-NBA,1st,Elvin Hayes,F,7027,1101,,WSB,31
1977,NBA,All-NBA,1st,Kareem Abdul-Jabbar,C,7112,1204,,LAL,29
1977,NBA,All-NBA,1st,Paul Westphal,G,7195,1469,,PHO,26
1977,NBA,All-NBA,1st,Pete Maravich,G,7196,1315,,NOJ,29
1977,NBA,All-NBA,2nd,Bill Walton,C,6931,1556,,POR,24
1977,NBA,All-NBA,2nd,George Gervin,G,7047,1447,1952.0,SAS,24
1977,NBA,All-NBA,2nd,George McGinnis,F,7052,1362,1950.0,PHI,26
1977,NBA,All-NBA,2nd,Jo Jo White,G,7087,1197,,BOS,30
1977,NBA,All-NBA,2nd,Julius Erving,F,7110,1381,1950.0,PHI,26
1977,NBA,All-Rookie,1st,Adrian Dantley,,6917,1692,,BUF,21
1977,NBA,All-Rookie,1st,John Lucas,,7100,1705,,HOU,23
1977,NBA,All-Rookie,1st,Mitch Kupchak,,7172,1714,,WSB,22
1977,NBA,All-Rookie,1st,Ron Lee,,7219,1726,,PHO,24
1977,NBA,All-Rookie,1st,Scott May,,7230,1728,,CHI,22
1976,ABA,All-ABA,1st,Artis Gilmore,C,6494,1338,1949.0,KEN,26
1976,ABA,All-ABA,1st,Billy Knight,F,6505,1558,1952.0,INA,23
