season,lg,team,abbreviation,playoffs,g,mp,opp_fg,opp_fga,opp_fg_percent,opp_x3p,opp_x3pa,opp_x3p_percent,opp_x2p,opp_x2pa,opp_x2p_percent,opp_ft,opp_fta,opp_ft_percent,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
2023,NBA,Los Angeles Lakers,LAL,False,82.0,19880.0,3607.0,7698.0,0.469,1028.0,2991.0,0.344,2579.0,4707.0,0.548,1319.0,1706.0,0.773,908.0,2770.0,3678.0,2104.0,624.0,416.0,1035.0,1760.0,9561.0
2023,NBA,Memphis Grizzlies,MEM,False,82.0,19780.0,3340.0,7365.0,0.453,1065.0,2998.0,0.355,2275.0,4367.0,0.521,1519.0,1931.0,0.787,902.0,2738.0,3640.0,2167.0,559.0,427.0,1240.0,1644.0,9264.0
2023,NBA,Miami Heat,MIA,False,82.0,19805.0,3288.0,6822.0,0.482,1077.0,2933.0,0.367,2211.0,3889.0,0.569,1350.0,1728.0,0.781,729.0,2702.0,3431.0,2097.0,571.0,309.0,1288.0,1643.0,9003.0
2023,NBA,Milwaukee Bucks,MIL,False,82.0,19830.0,3483.0,7644.0,0.456,991.0,2799.0,0.354,2492.0,4845.0,0.514,1334.0,1719.0,0.776,879.0,2744.0,3623.0,1963.0,578.0,323.0,970.0,1557.0,9291.0
2023,NBA,Minnesota Timberwolves,MIN,False,82.0,19830.0,3428.0,7277.0,0.471,1007.0,2728.0,0.369,2421.0,4549.0,0.532,1634.0,2133.0,0.766,928.0,2734.0,3662.0,2051.0,674.0,336.0,1262.0,1654.0,9497.0
2023,NBA,New Orleans Pelicans,NOP,False,82.0,19855.0,3357.0,7105.0,0.472,1002.0,2953.0,0.339,2355.0,4152.0,0.567,1507.0,1935.0,0.779,792.0,2634.0,3426.0,2044.0,600.0,386.0,1228.0,1673.0,9223.0
2023,NBA,New York Knicks,NYK,False,82.0,19955.0,3343.0,7229.0,0.462,1068.0,2992.0,0.357,2275.0,4237.0,0.537,1520.0,1943.0,0.782,830.0,2617.0,3447.0,2062.0,496.0,370.0,1044.0,1694.0,9274.0
2023,NBA,Oklahoma City Thunder,OKC,False,82.0,19855.0,3437.0,7252.0,0.474,1059.0,2955.0,0.358,2378.0,4297.0,0.553,1611.0,2090.0,0.771,982.0,2841.0,3823.0,2126.0,572.0,454.0,1375.0,1675.0,9544.0
2023,NBA,Orlando Magic,ORL,False,82.0,19780.0,3389.0,7127.0,0.476,1064.0,3030.0,0.351,2325.0,4097.0,0.567,1504.0,1890.0,0.796,779.0,2669.0,3448.0,2122.0,634.0,415.0,1204.0,1681.0,9346.0
2023,NBA,Philadelphia 76ers,PHI,False,82.0,19880.0,3312.0,7005.0,0.473,952.0,2735.0,0.348,2360.0,4270.0,0.553,1518.0,1943.0,0.781,782.0,2593.0,3375.0,1986.0,540.0,380.0,1171.0,1607.0,9094.0
2023,NBA,Phoenix Suns,PHO,False,82.0,19780.0,3280.0,7044.0,0.466,938.0,2628.0,0.357,2342.0,4416.0,0.53,1651.0,2101.0,0.786,840.0,2676.0,3516.0,1915.0,588.0,327.0,1183.0,1629.0,9149.0
