season,lg,team,abbreviation,playoffs,g,mp,opp_fg_per_100_poss,opp_fga_per_100_poss,opp_fg_percent,opp_x3p_per_100_poss,opp_x3pa_per_100_poss,opp_x3p_percent,opp_x2p_per_100_poss,opp_x2pa_per_100_poss,opp_x2p_percent,opp_ft_per_100_poss,opp_fta_per_100_poss,opp_ft_percent,opp_orb_per_100_poss,opp_drb_per_100_poss,opp_trb_per_100_poss,opp_ast_per_100_poss,opp_stl_per_100_poss,opp_blk_per_100_poss,opp_tov_per_100_poss,opp_pf_per_100_poss,opp_pts_per_100_poss
2021,NBA,Boston Celtics,BOS,True,72,17380,40.4,87.0,0.464,13.0,34.8,0.374,27.4,52.3,0.524,18.7,23.8,0.785,9.5,33.5,43.0,24.3,7.5,4.7,14.3,19.5,112.5
2021,NBA,Brooklyn Nets,BRK,True,72,17405,41.8,91.1,0.459,13.2,36.1,0.365,28.6,55.0,0.521,17.0,21.9,0.775,10.4,32.5,43.0,24.0,7.6,4.6,12.6,18.9,113.8
2021,NBA,Chicago Bulls,CHI,False,72,17380,41.6,88.0,0.473,11.6,32.5,0.356,30.0,55.6,0.541,17.3,22.3,0.774,8.7,33.6,42.3,24.2,8.6,5.1,12.8,17.8,112.0
2021,NBA,Charlotte Hornets,CHO,False,72,17355,41.8,89.3,0.468,14.7,40.1,0.366,27.2,49.2,0.552,14.5,19.5,0.745,10.8,35.0,45.8,27.4,8.2,4.9,14.9,18.9,112.8
2021,NBA,Cleveland Cavaliers,CLE,False,72,17430,42.8,88.4,0.484,12.6,33.0,0.383,30.1,55.3,0.545,16.2,20.8,0.779,10.1,34.5,44.6,25.9,8.7,6.0,14.6,20.5,114.4
2021,NBA,Dallas Mavericks,DAL,True,72,17305,41.1,89.3,0.46,13.2,36.2,0.365,27.9,53.2,0.525,17.6,23.1,0.764,10.0,35.1,45.1,23.2,7.5,3.8,12.9,20.6,113.0
2021,NBA,Denver Nuggets,DEN,True,72,17480,40.8,86.9,0.469,13.2,36.3,0.363,27.6,50.6,0.545,17.4,22.5,0.773,9.2,32.7,41.9,26.4,7.6,4.6,14.3,19.5,112.1
2021,NBA,Detroit Pistons,DET,False,72,17430,41.9,88.1,0.476,11.5,31.8,0.362,30.4,56.3,0.541,17.2,22.6,0.76,10.1,34.8,44.9,25.1,8.1,5.9,14.1,20.7,112.5
2021,NBA,Golden State Warriors,GSW,False,72,17305,39.3,87.0,0.452,12.1,33.7,0.359,27.2,53.3,0.511,19.4,24.9,0.778,10.4,35.8,46.2,23.2,7.7,4.2,14.7,19.1,110.1
2021,NBA,Houston Rockets,HOU,False,72,17305,42.0,87.7,0.48,13.2,34.6,0.382,28.8,53.0,0.544,17.6,22.5,0.783,9.7,37.1,46.8,25.4,8.4,5.2,14.4,19.0,114.9
