seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
31391,2024,4036,Klay Thompson,,SF,33.0,11,NBA,GSW,3,3.0,98.0,7.3,15.4,0.476,3.7,9.2,0.4,3.7,6.2,0.588,0.7,0.7,1.0,0.7,4.4,5.1,2.6,0.4,0.7,2.6,3.7,19.1
31392,2024,5144,Kobe Brown,,PF,24.0,1,NBA,LAC,3,0.0,29.0,5.0,9.9,0.5,2.5,6.2,0.4,2.5,3.7,0.667,0.0,0.0,,1.2,7.4,8.7,2.5,1.2,1.2,0.0,7.4,12.4
31393,2024,5145,Kobe Bufkin,,SG,20.0,1,NBA,ATL,2,0.0,4.0,0.0,27.0,0.0,0.0,9.0,0.0,0.0,18.0,0.0,9.0,18.0,0.5,9.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,9.0
31394,2024,4421,Kris Dunn,,PG,29.0,8,NBA,UTA,4,0.0,61.0,4.1,13.0,0.318,0.0,3.0,0.0,4.1,10.0,0.412,1.2,2.4,0.5,0.0,3.5,3.5,5.3,3.0,0.0,4.7,5.3,9.4
31395,2024,5146,Kris Murray,,SF,23.0,1,NBA,POR,2,0.0,11.0,0.0,3.3,0.0,0.0,3.3,0.0,0.0,0.0,,0.0,0.0,,0.0,3.3,3.3,0.0,3.3,0.0,0.0,3.3,0.0
31396,2024,4343,Kristaps Porziņģis,,PF,28.0,8,NBA,BOS,3,3.0,92.0,8.2,14.1,0.583,3.1,6.7,0.471,5.1,7.4,0.684,4.7,5.5,0.857,1.6,7.4,9.0,1.6,1.2,2.3,1.6,4.7,24.3
31397,2024,4271,Kyle Anderson,,PF,30.0,10,NBA,MIN,3,0.0,78.0,4.6,9.2,0.5,0.0,1.4,0.0,4.6,7.8,0.588,1.4,1.8,0.75,1.4,4.6,6.0,6.5,2.8,0.5,2.3,0.9,10.6
31398,2024,4534,Kyle Kuzma,,PF,28.0,7,NBA,WAS,3,3.0,87.0,11.2,23.2,0.482,2.1,8.3,0.25,9.1,14.9,0.611,3.3,3.7,0.889,1.7,6.6,8.3,2.5,0.4,0.8,0.8,0.8,27.7
31399,2024,3685,Kyle Lowry,,PG,37.0,18,NBA,MIA,4,4.0,124.0,2.6,5.8,0.45,1.7,4.1,0.429,0.9,1.7,0.5,0.0,0.0,,0.6,4.6,5.2,5.2,1.5,0.6,2.0,3.5,7.0
31400,2024,4037,Kyrie Irving,,SG,31.0,13,NBA,DAL,2,2.0,70.0,8.2,21.1,0.39,1.0,6.2,0.167,7.2,14.9,0.483,2.6,2.6,1.0,0.5,4.1,4.6,6.2,0.5,0.0,1.0,2.6,20.1
