seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,on_court_plus_minus_per_100_poss,net_plus_minus_per_100_poss,bad_pass_turnover,lost_ball_turnover,shooting_foul_committed,offensive_foul_committed,shooting_foul_drawn,offensive_foul_drawn,points_generated_by_assists,and1,fga_blocked
31199,2024,3585,Chris Paul,,PG,38,19,NBA,GSW,4,120,100.0,,,,,20.4,23.1,2,2,1,0,3,1.0,81,2,2
31200,2024,5036,Christian Braun,,SG,22,2,NBA,DEN,4,89,,20.0,81.0,,,21.0,12.2,1,2,3,0,5,0.0,30,1,3
31201,2024,4313,Christian Wood,,PF,28,8,NBA,LAL,4,77,,,53.0,48.0,,32.8,56.0,1,1,2,2,5,0.0,12,1,1
31202,2024,4817,Chuma Okeke,,SF,25,4,NBA,ORL,2,9,,100.0,,,,38.6,36.4,0,1,0,0,0,0.0,0,0,0
31203,2024,4230,Clint Capela,,C,29,10,NBA,ATL,4,102,,,,,100.0,-8.5,-28.4,2,1,6,0,5,0.0,8,0,6
31204,2024,4703,Coby White,,SG,23,5,NBA,CHI,4,124,60.0,40.0,,,,-5.1,6.8,5,0,6,0,6,4.0,36,1,1
31205,2024,4155,Cody Zeller,,C,31,11,NBA,NOP,2,12,,,,,100.0,-28.4,-27.0,0,0,0,0,1,1.0,0,0,3
31206,2024,5121,Colby Jones,,SG,21,1,NBA,SAC,2,2,,26.0,75.0,,,-16.7,-20.4,0,0,0,0,0,0.0,0,0,0
31207,2024,4819,Cole Anthony,,PG,23,4,NBA,ORL,4,91,100.0,,,,,-7.0,-20.1,2,1,3,0,7,0.0,19,1,3
31208,2024,5038,Cole Swider,,SF,24,2,NBA,MIA,1,2,,,100.0,,,140.0,150.1,0,0,0,0,0,0.0,0,0,0
31209,2024,5122,Collin Gillespie,,PG,24,1,NBA,DEN,2,6,100.0,,,,,18.2,3.9,0,0,0,0,0,0.0,0,0,0
31210,2024,4599,Collin Sexton,,PG,25,6,NBA,UTA,4,79,100.0,,,,,-16.6,-10.3,3,1,3,0,7,1.0,15,1,7
31211,2024,4920,Corey Kispert,,SF,24,3,NBA,WAS,3,80,,4.0,69.0,27.0,,-10.0,2.8,2,1,2,1,3,1.0,6,1,3
31212,2024,3992,Cory Joseph,,PG,32,13,NBA,GSW,2,8,56.0,44.0,,,,-62.4,-77.4,0,0,2,0,0,0.0,5,0,0
31213,2024,5123,Craig Porter Jr.,,PG,23,1,NBA,CLE,2,26,100.0,,,,,-38.0,-34.2,1,1,1,0,0,0.0,8,0,0
31214,2024,4317,D'Angelo Russell,,PG,27,9,NBA,LAL,4,146,51.0,49.0,,,,4.1,23.6,5,3,6,1,5,3.0,67,1,3
31215,2024,4706,DaQuan Jeffries,,SG,26,4,NBA,NYK,2,7,,,100.0,,,39.5,38.8,0,0,1,0,0,0.0,0,0,0
31216,2024,4922,Daishen Nix,,PG,21,3,NBA,MIN,1,1,,100.0,,,,200.0,202.1,0,0,0,0,0,0.0,0,0,0
31217,2024,4923,Dalano Banton,,PG,24,3,NBA,BOS,1,10,26.0,74.0,,,,-89.5,-107.6,1,0,1,0,0,0.0,2,0,0
31218,2024,5039,Dalen Terry,,SG,21,2,NBA,CHI,2,5,,100.0,,,,-2.8,4.9,0,0,0,0,0,0.0,2,0,0
31219,2024,4387,Damian Jones,,C,28,8,NBA,CLE,4,32,,,,,100.0,-3.3,5.9,0,0,1,2,1,0.0,5,0,0
31220,2024,4077,Damian Lillard,,PG,33,12,NBA,MIL,3,101,98.0,2.0,,,,-8.4,-20.7,6,2,3,1,11,0.0,29,3,2
31221,2024,4705,Daniel Gafford,,C,25,5,NBA,WAS,2,49,,,,4.0,97.0,-12.0,-1.1,0,1,5,0,4,0.0,0,0,0
31222,2024,3807,Danilo Gallinari,,SF,35,14,NBA,WAS,3,41,,,,51.0,49.0,-16.9,-7.3,0,1,1,0,3,0.0,8,0,1
31223,2024,3867,Danny Green,,SG,36,15,NBA,PHI,2,18,,50.0,50.0,,,-3.0,-16.7,0,0,1,0,0,0.0,2,0,0
31224,2024,4233,Dante Exum,,PG,28,7,NBA,DAL,3,18,100.0,,,,,26.3,19.1,0,0,0,0,1,0.0,6,1,0
31225,2024,4389,Danuel House Jr.,,SF,30,8,NBA,PHI,2,22,,26.0,74.0,,,11.1,-0.5,0,1,1,0,0,0.0,5,0,0
31226,2024,4390,Dario Šarić,,PF,29,7,NBA,GSW,4,76,,,,2.0,98.0,12.5,1.4,0,1,5,1,1,0.0,22,0,3
31227,2024,4708,Darius Garland,,PG,24,5,NBA,CLE,1,32,100.0,,,,,10.6,22.9,3,3,1,0,0,0.0,12,0,1
31228,2024,5041,David Roddy,,PF,22,2,NBA,MEM,4,96,,,32.0,68.0,,-6.4,4.4,2,2,7,0,2,0.0,19,1,1
31229,2024,4926,Davion Mitchell,,PG,25,3,NBA,SAC,3,40,95.0,5.0,,,,-15.8,-26.5,2,1,5,0,0,1.0,16,0,1
31230,2024,4927,Day'Ron Sharpe,,C,22,3,NBA,BRK,3,26,,,,,100.0,14.5,15.2,1,1,2,3,2,0.0,3,1,3
31231,2024,4489,De'Aaron Fox,,PG,26,7,NBA,SAC,3,106,100.0,,,,,9.7,21.6,4,2,1,1,9,1.0,45,4,3
31232,2024,4709,De'Andre Hunter,,SF,26,5,NBA,ATL,4,118,,,51.0,49.0,,1.9,-7.8,2,0,8,0,7,1.0,12,2,0
31233,2024,4602,De'Anthony Melton,,SG,25,6,NBA,PHI,3,87,83.0,17.0,,,,10.6,-2.0,1,2,2,0,2,0.0,35,1,2
31234,2024,3872,DeMar DeRozan,,SF,34,15,NBA,CHI,4,141,,,82.0,18.0,,-10.6,-10.8,1,2,5,0,14,3.0,30,3,4
31235,2024,4710,Dean Wade,,PF,27,5,NBA,CLE,3,80,,,,94.0,6.0,-3.9,7.6,1,1,4,0,0,1.0,8,0,0
31236,2024,4603,Deandre Ayton,,C,25,6,NBA,POR,4,106,,,,,100.0,-2.7,16.5,1,4,8,1,1,1.0,14,1,3
31237,2024,4394,Dejounte Murray,,SG,27,7,NBA,ATL,4,137,35.0,65.0,,,,10.4,18.7,7,1,0,0,7,0.0,52,1,2
31238,2024,4320,Delon Wright,,PG,31,9,NBA,WAS,3,57,73.0,27.0,,,,-16.1,-8.1,0,1,0,0,2,2.0,35,1,2
31239,2024,4823,Deni Avdija,,SF,23,4,NBA,WAS,3,70,,,53.0,47.0,,-18.7,-15.3,3,0,2,0,2,0.0,17,0,3
31240,2024,4157,Dennis Schröder,,PG,30,11,NBA,TOR,4,135,100.0,,,,,-0.4,7.0,4,2,1,0,4,2.0,84,1,5
31241,2024,4490,Dennis Smith Jr.,,PG,26,7,NBA,BRK,3,38,100.0,,,,,9.3,10.0,2,0,4,1,1,0.0,9,0,0
31242,2024,5124,Dereck Lively II,,C,19,1,NBA,DAL,3,61,,,,,100.0,18.3,15.1,1,0,6,1,3,0.0,2,1,0
31243,2024,4397,Derrick Jones Jr.,,SF,26,8,NBA,DAL,3,52,,,87.0,13.0,,10.7,1.7,0,3,0,0,4,3.0,2,2,1
31244,2024,3812,Derrick Rose,,PG,35,15,NBA,MEM,4,71,100.0,,,,,-15.4,-10.7,4,2,1,0,2,2.0,29,0,6
31245,2024,4492,Derrick White,,SG,29,7,NBA,BOS,3,92,6.0,93.0,2.0,,,22.2,31.1,2,1,2,2,3,1.0,28,0,1
